year,place,type
2014,道路不平,kcg
2014,髒亂、噪音、空汙,kcg
2014,髒亂、噪音、空汙,kcg
2014,髒亂、噪音、空汙,kcg
2014,公園、路樹、人行道,kcg
2013,路燈故障,kcg
2013,積水、汙水管,kcg
2013,交通違規、路霸,kcg
2013,髒亂、噪音、空汙,kcg
2013,道路不平,kcg
2013,道路不平,kcg
2013,髒亂、噪音、空汙,kcg
2013,髒亂、噪音、空汙,kcg
2013,路燈故障,kcg
2013,道路不平,kcg
2013,交通號誌,kcg
2013,交通號誌,kcg
2013,交通號誌,kcg
2013,交通號誌,kcg
2013,髒亂、噪音、空汙,kcg
2013,動物保護,kcg
2012,道路不平,kcg
2012,髒亂、噪音、空汙,kcg
2012,髒亂、噪音、空汙,kcg
2012,髒亂、噪音、空汙,kcg
2012,公園、路樹、人行道,kcg
2012,髒亂、噪音、空汙,kcg
2012,髒亂、噪音、空汙,kcg
2012,髒亂、噪音、空汙,kcg
2011,道路不平,kcg
2011,動物保護,kcg
2011,道路不平,kcg
2011,髒亂、噪音、空汙,kcg
2011,髒亂、噪音、空汙,kcg
2011,道路不平,kcg
2011,髒亂、噪音、空汙,kcg
2011,髒亂、噪音、空汙,kcg
2011,道路不平,kcg
2011,髒亂、噪音、空汙,kcg
2011,髒亂、噪音、空汙,kcg
2011,髒亂、噪音、空汙,kcg
2011,髒亂、噪音、空汙,kcg
2011,髒亂、噪音、空汙,kcg
2010,道路不平,kcg
2010,髒亂、噪音、空汙,kcg
2010,髒亂、噪音、空汙,kcg
2010,道路不平,kcg
2010,道路不平,kcg
2010,道路不平,kcg
2010,髒亂、噪音、空汙,kcg
2010,積水、汙水管,kcg
2010,髒亂、噪音、空汙,kcg
2010,交通號誌,kcg
2010,髒亂、噪音、空汙,kcg
2010,道路不平,kcg
2010,道路不平,kcg
2010,髒亂、噪音、空汙,kcg
2010,道路不平,kcg
2010,動物保護,kcg
2010,髒亂、噪音、空汙,kcg
2010,髒亂、噪音、空汙,kcg
2010,髒亂、噪音、空汙,kcg
2010,髒亂、噪音、空汙,kcg
2010,交通號誌,kcg
2009,髒亂、噪音、空汙,kcg
2009,公園、路樹、人行道,kcg
2009,動物保護,kcg
2009,髒亂、噪音、空汙,kcg
2009,髒亂、噪音、空汙,kcg
2009,道路不平,kcg
2009,道路不平,kcg
2009,路燈故障,kcg
2009,髒亂、噪音、空汙,kcg
2009,路燈故障,kcg
2009,路燈故障,kcg
2008,交通號誌,kcg
2008,髒亂、噪音、空汙,kcg
2008,髒亂、噪音、空汙,kcg
2008,髒亂、噪音、空汙,kcg
2008,髒亂、噪音、空汙,kcg
2007,髒亂、噪音、空汙,kcg
2007,積水、汙水管,kcg
2007,交通號誌,kcg
